,PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
52,52,3,"Minkoff, Mr. Lazar",male,21.0,0,0,349211,7.8958,,S
53,53,3,"Morrow, Mr. Thomas Rowan",male,,0,0,372622,7.75,,Q
54,54,3,"Reed, Mr. James George",male,,0,0,362316,7.25,,S
55,55,2,"Matthews, Mr. William John",male,30.0,0,0,28228,13.0,,S
56,56,3,"Cacic, Miss. Manda",female,21.0,0,0,315087,8.6625,,S
57,57,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S
58,58,3,"Lam, Mr. Ali",male,,0,0,1601,56.4958,,S
59,59,3,"Karaic, Mr. Milan",male,30.0,0,0,349246,7.8958,,S
60,60,2,"Garside, Miss. Ethel",female,34.0,0,0,243880,13.0,,S
61,61,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q
62,62,2,"Denbury, Mr. Herbert",male,25.0,0,0,C.A. 31029,31.5,,S
63,63,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S
64,64,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0,2,3,29106,18.75,,S
65,65,3,"Johansson, Mr. Nils",male,29.0,0,0,347467,7.8542,,S
66,66,3,"Sage, Mr. John George",male,,1,9,CA. 2343,69.55,,S
67,67,1,"Brady, Mr. John Bertram",male,41.0,0,0,113054,30.5,A21,S
68,68,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,,0,0,PC 17598,31.6833,,S
69,69,3,"McNamee, Mr. Neal",male,24.0,1,0,376566,16.1,,S
70,70,1,"Marvin, Mr. Daniel Warner",male,19.0,1,0,113773,53.1,D30,S
71,71,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,,S
72,72,3,"Kilgannon, Mr. Thomas J",male,,0,0,36865,7.7375,,Q
73,73,2,"Cook, Mrs. (Selena Rogers)",female,22.0,0,0,W./C. 14266,10.5,F33,S
74,74,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S
75,75,2,"Quick, Miss. Winifred Vera",female,8.0,1,1,26360,26.0,,S
76,76,3,"Andersson, Mr. Johan Samuel",male,26.0,0,0,347075,7.775,,S
77,77,3,"Hendekovic, Mr. Ignjac",male,28.0,0,0,349243,7.8958,,S
78,78,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S
79,79,3,"McGowan, Miss. Katherine",female,35.0,0,0,9232,7.75,,Q
80,80,3,"Bourke, Mrs. John (Catherine)",female,32.0,1,1,364849,15.5,,Q
81,81,2,"Bentham, Miss. Lilian W",female,19.0,0,0,28404,13.0,,S
82,82,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,,S
83,83,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C
84,84,2,"Becker, Miss. Ruth Elizabeth",female,12.0,2,1,230136,39.0,F4,S
85,85,1,"Douglas, Mr. Walter Donald",male,50.0,1,0,PC 17761,106.425,C86,C
86,86,3,"Rosblom, Mr. Viktor Richard",male,18.0,1,1,370129,20.2125,,S
87,87,2,"Watt, Miss. Bertha J",female,12.0,0,0,C.A. 33595,15.75,,S
88,88,3,"Abbott, Mr. Rossmore Edward",male,16.0,1,1,C.A. 2673,20.25,,S
89,89,3,"Hampe, Mr. Leon",male,20.0,0,0,345769,9.5,,S
90,90,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966,134.5,E34,C
91,91,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,PC 17758,108.9,C65,C
92,92,3,"Thomas, Mr. John",male,,0,0,2681,6.4375,,C
93,93,1,"Fry, Mr. Richard",male,,0,0,112058,0.0,B102,S
94,94,3,"Sjoblom, Miss. Anna Sofia",female,18.0,0,0,3101265,7.4958,,S
95,95,1,"Cherry, Miss. Gladys",female,30.0,0,0,110152,86.5,B77,S
96,96,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18.0,1,0,113773,53.1,D30,S
97,97,3,"Daly, Mr. Eugene Patrick",male,29.0,0,0,382651,7.75,,Q
98,98,3,"Abbott, Master. Eugene Joseph",male,13.0,0,2,C.A. 2673,20.25,,S
99,99,3,"Olsen, Master. Artur Karl",male,9.0,0,1,C 17368,3.1708,,S
100,100,3,"Toufik, Mr. Nakli",male,,0,0,2641,7.2292,,C
101,101,3,"Skoog, Miss. Mabel",female,9.0,3,2,347088,27.9,,S
102,102,2,"Drew, Mr. James Vivian",male,42.0,1,1,28220,32.5,,S
103,103,3,"Kink, Miss. Maria",female,22.0,2,0,315152,8.6625,,S
104,104,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C
105,105,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S
106,106,3,"Yasbeck, Mr. Antoni",male,27.0,1,0,2659,14.4542,,C
107,107,3,"Jussila, Miss. Mari Aina",female,21.0,1,0,4137,9.825,,S
108,108,2,"Ware, Mrs. John James (Florence Louise Long)",female,31.0,0,0,CA 31352,21.0,,S
109,109,3,"McNamee, Mrs. Neal (Eileen O'Leary)",female,19.0,1,0,376566,16.1,,S
110,110,3,"Green, Mr. George Henry",male,51.0,0,0,21440,8.05,,S
111,111,2,"Duran y More, Miss. Asuncion",female,27.0,1,0,SC/PARIS 2149,13.8583,,C
112,112,3,"Midtsjo, Mr. Karl Albert",male,21.0,0,0,345501,7.775,,S
113,113,3,"Kelly, Miss. Mary",female,,0,0,14312,7.75,,Q
114,114,3,"Sage, Mr. George John Jr",male,,8,2,CA. 2343,69.55,,S
115,115,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,,S
116,116,2,"Laroche, Miss. Louise",female,1.0,1,2,SC/Paris 2123,41.5792,,C
117,117,3,"Asim, Mr. Adola",male,35.0,0,0,SOTON/O.Q. 3101310,7.05,,S
118,118,1,"Hipkins, Mr. William Edward",male,55.0,0,0,680,50.0,C39,S
119,119,2,"Keane, Mr. Daniel",male,35.0,0,0,233734,12.35,,Q
120,120,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,,S
121,121,3,"Lockyer, Mr. Edward",male,,0,0,1222,7.8792,,S
122,122,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966,134.5,E40,C
123,123,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,S
124,124,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,,S
125,125,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,0,1,PC 17759,63.3583,D10 D12,C
126,126,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,0,0,9234,7.75,,Q
127,127,1,"Daniels, Miss. Sarah",female,33.0,0,0,113781,151.55,,S
128,128,2,"Sincock, Miss. Maude",female,20.0,0,0,C.A. 33112,36.75,,S
129,129,3,"Mangan, Miss. Mary",female,30.5,0,0,364850,7.75,,Q
130,130,3,"Foley, Mr. Joseph",male,26.0,0,0,330910,7.8792,,Q
131,131,3,"Somerton, Mr. Francis William",male,30.0,0,0,A.5. 18509,8.05,,S
132,132,2,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",female,,0,0,F.C.C. 13534,21.0,,S
133,133,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C
134,134,3,"Lindqvist, Mr. Eino William",male,20.0,1,0,STON/O 2. 3101285,7.925,,S
135,135,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S
136,136,3,"Buckley, Miss. Katherine",female,18.5,0,0,329944,7.2833,,Q
137,137,3,"Pavlovic, Mr. Stefo",male,32.0,0,0,349242,7.8958,,S
138,138,3,"Holm, Mr. John Fredrik Alexander",male,43.0,0,0,C 7075,6.45,,S
139,139,3,"Daly, Miss. Margaret Marcella Maggie""""",female,30.0,0,0,382650,6.95,,Q
140,140,3,"Nirva, Mr. Iisakki Antino Aijo",male,41.0,0,0,SOTON/O2 3101272,7.125,,S
141,141,3,"Moran, Mr. Daniel J",male,,1,0,371110,24.15,,Q
142,142,3,"Murphy, Miss. Nora",female,,0,0,36568,15.5,,Q
143,143,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0,343095,8.05,,S
144,144,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,,S
145,145,1,"Widener, Mr. Harry Elkins",male,27.0,0,2,113503,211.5,C82,C
146,146,3,"Doyle, Miss. Elizabeth",female,24.0,0,0,368702,7.75,,Q
147,147,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,,S
148,148,1,"Young, Miss. Marie Grice",female,36.0,0,0,PC 17760,135.6333,C32,C
149,149,1,"Foreman, Mr. Benjamin Laventall",male,30.0,0,0,113051,27.75,C111,C
150,150,3,"Svensson, Mr. Olof",male,24.0,0,0,350035,7.7958,,S
151,151,2,"Portaluppi, Mr. Emilio Ilario Giuseppe",male,30.0,0,0,C.A. 34644,12.7375,,C
152,152,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26.0,1,0,13508,136.7792,C89,C
153,153,3,"Jonsson, Mr. Nils Hilding",male,27.0,0,0,350408,7.8542,,S
154,154,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,,S
155,155,1,"Calderhead, Mr. Edward Pennington",male,42.0,0,0,PC 17476,26.2875,E24,S
156,156,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,,C
157,157,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,0,0,11813,76.2917,D15,C
158,158,1,"Leader, Dr. Alice (Farnham)",female,49.0,0,0,17465,25.9292,D17,S
159,159,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,,S
160,160,3,"Braund, Mr. Lewis Richard",male,29.0,1,0,3460,7.0458,,S
161,161,1,"Silverthorne, Mr. Spencer Victor",male,35.0,0,0,PC 17475,26.2875,E24,S
162,162,3,"Johnston, Miss. Catherine Helen ""Carrie""",female,,1,2,W./C. 6607,23.45,,S
163,163,3,"Tomlin, Mr. Ernest Portage",male,30.5,0,0,364499,8.05,,S
164,164,2,"Parkes, Mr. Francis ""Frank""",male,,0,0,239853,0.0,,S
165,165,3,"Katavelas, Mr. Vassilios (Catavelas Vassilios"")""",male,18.5,0,0,2682,7.2292,,C
166,166,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,,S
167,167,1,"Guggenheim, Mr. Benjamin",male,46.0,0,0,PC 17593,79.2,B82 B84,C
168,168,3,"Gheorgheff, Mr. Stanio",male,,0,0,349254,7.8958,,C
169,169,3,"Chronopoulos, Mr. Demetrios",male,18.0,1,0,2680,14.4542,,C
170,170,1,"Rosenshine, Mr. George (Mr George Thorne"")""",male,46.0,0,0,PC 17585,79.2,,C
171,171,3,"Goodwin, Master. Harold Victor",male,9.0,5,2,CA 2144,46.9,,S
172,172,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S
173,173,3,"Theobald, Mr. Thomas Leonard",male,34.0,0,0,363294,8.05,,S
174,174,3,"Petterson, Mr. Johan Emil",male,25.0,1,0,347076,7.775,,S
175,175,3,"Garfirth, Mr. John",male,,0,0,358585,14.5,,S
176,176,2,"Buss, Miss. Kate",female,36.0,0,0,27849,13.0,,S
177,177,3,"Nilsson, Miss. Helmina Josefina",female,26.0,0,0,347470,7.8542,,S
178,178,3,"Nieminen, Miss. Manta Josefina",female,29.0,0,0,3101297,7.925,,S
179,179,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S
180,180,3,"Lindblom, Miss. Augusta Charlotta",female,45.0,0,0,347073,7.75,,S
181,181,2,"Ware, Mr. John James",male,30.0,1,0,CA 31352,21.0,,S
182,182,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,21.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C
183,183,1,"Perreault, Miss. Anne",female,30.0,0,0,12749,93.5,B73,S
184,184,3,"Hyman, Mr. Abraham",male,,0,0,3470,7.8875,,S
185,185,3,"Hansen, Mr. Claus Peter",male,41.0,2,0,350026,14.1083,,S
186,186,3,"Miles, Mr. Frank",male,,0,0,359306,8.05,,S
187,187,3,"Jensen, Mr. Svend Lauritz",male,17.0,1,0,350048,7.0542,,S
188,188,3,"Everett, Mr. Thomas James",male,40.5,0,0,C.A. 6212,15.1,,S
189,189,3,"Jonsson, Mr. Carl",male,32.0,0,0,350417,7.8542,,S
190,190,1,"Cumings, Mr. John Bradley",male,39.0,1,0,PC 17599,71.2833,C85,C
191,191,2,"Sharp, Mr. Percival James R",male,27.0,0,0,244358,26.0,,S
192,192,1,"Wright, Mr. George",male,62.0,0,0,113807,26.55,,S
193,193,1,"Butt, Major. Archibald Willingham",male,45.0,0,0,113050,26.55,B38,S
194,194,3,"Mulvihill, Miss. Bertha E",female,24.0,0,0,382653,7.75,,Q
195,195,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C
196,196,1,"Sagesser, Mlle. Emma",female,24.0,0,0,PC 17477,69.3,B35,C
197,197,2,"Duran y More, Miss. Florentina",female,30.0,1,0,SC/PARIS 2148,13.8583,,C
198,198,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C
199,199,3,"Delalic, Mr. Redjo",male,25.0,0,0,349250,7.8958,,S
200,200,3,"Culumovic, Mr. Jeso",male,17.0,0,0,315090,8.6625,,S
201,201,3,"Sdycoff, Mr. Todor",male,,0,0,349222,7.8958,,S
202,202,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,,S
203,203,3,"Guest, Mr. Robert",male,,0,0,376563,8.05,,S
204,204,1,"Geiger, Miss. Amalie",female,35.0,0,0,113503,211.5,C130,C
205,205,1,"Ross, Mr. John Hugo",male,36.0,0,0,13049,40.125,A10,C
206,206,2,"Lingane, Mr. John",male,61.0,0,0,235509,12.35,,Q
207,207,1,"Smith, Mr. Lucien Philip",male,24.0,1,0,13695,60.0,C31,S
208,208,1,"Evans, Miss. Edith Corse",female,36.0,0,0,PC 17531,31.6792,A29,C
209,209,3,"Lefebre, Mrs. Frank (Frances)",female,,0,4,4133,25.4667,,S
210,210,3,"Emanuel, Miss. Virginia Ethel",female,5.0,0,0,364516,12.475,,S
211,211,1,"Allen, Miss. Elisabeth Walton",female,29.0,0,0,24160,211.3375,B5,S
212,212,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,1,0,19877,78.85,C46,S
213,213,2,"Christy, Mrs. (Alice Frances)",female,45.0,0,2,237789,30.0,,S
214,214,3,"Dimic, Mr. Jovan",male,42.0,0,0,315088,8.6625,,S
215,215,3,"Kennedy, Mr. John",male,,0,0,368783,7.75,,Q
216,216,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,1,1,248738,29.0,,S
217,217,3,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626,7.2292,,C
218,218,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39.0,1,1,110413,79.65,E67,S
219,219,3,"Gronnestad, Mr. Daniel Danielsen",male,32.0,0,0,8471,8.3625,,S
220,220,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,,S
221,221,2,"Deacon, Mr. Percy William",male,17.0,0,0,S.O.C. 14879,73.5,,S
222,222,3,"Yousif, Mr. Wazli",male,,0,0,2647,7.225,,C
223,223,1,"Wick, Mr. George Dennick",male,57.0,1,1,36928,164.8667,,S
224,224,2,"Hodges, Mr. Henry Price",male,50.0,0,0,250643,13.0,,S
225,225,3,"Kalvik, Mr. Johannes Halvorsen",male,21.0,0,0,8475,8.4333,,S
226,226,3,"Caram, Mrs. Joseph (Maria Elias)",female,,1,0,2689,14.4583,,C
227,227,2,"Lamb, Mr. John Joseph",male,,0,0,240261,10.7083,,Q
228,228,3,"Lane, Mr. Patrick",male,,0,0,7935,7.75,,Q
229,229,2,"Ashby, Mr. John",male,57.0,0,0,244346,13.0,,S
230,230,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582,153.4625,C125,S
231,231,1,"Ismay, Mr. Joseph Bruce",male,49.0,0,0,112058,0.0,B52 B54 B56,S
232,232,2,"Pain, Dr. Alfred",male,23.0,0,0,244278,10.5,,S
233,233,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,1,0,113806,53.1,E8,S
234,234,3,"Persson, Mr. Ernst Ulrik",male,25.0,1,0,347083,7.775,,S
235,235,3,"Sutehall, Mr. Henry Jr",male,25.0,0,0,SOTON/OQ 392076,7.05,,S
236,236,3,"Hassan, Mr. Houssein G N",male,11.0,0,0,2699,18.7875,,C
237,237,3,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40.0,1,5,347077,31.3875,,S
238,238,3,"Bourke, Mr. John",male,40.0,1,1,364849,15.5,,Q
239,239,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909,21.075,,S
240,240,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,19877,78.85,,S
241,241,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,,S
242,242,3,"Howard, Miss. May Elizabeth",female,,0,0,A. 2. 39186,8.05,,S
243,243,3,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19.0,0,0,348124,7.65,F G73,S
244,244,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,,S
245,245,3,"Mannion, Miss. Margareth",female,,0,0,36866,7.7375,,Q
246,246,3,"Gustafsson, Mr. Johan Birger",male,28.0,2,0,3101277,7.925,,S
247,247,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S
248,248,3,"Cacic, Mr. Jego Grga",male,18.0,0,0,315091,8.6625,,S
249,249,1,"Newell, Mr. Arthur Webster",male,58.0,0,2,35273,113.275,D48,C
250,250,1,"Brewe, Dr. Arthur Jackson",male,,0,0,112379,39.6,,C
251,251,3,"Tornquist, Mr. William Henry",male,25.0,0,0,LINE,0.0,,S
252,252,3,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C
253,253,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S
254,254,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C
255,255,3,"Ford, Mr. Arthur",male,,0,0,A/5 1478,8.05,,S
256,256,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,,S
257,257,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2,0,11769,51.4792,C101,S
258,258,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39.0,0,0,250655,26.0,,S
259,259,3,"Sundman, Mr. Johan Julian",male,44.0,0,0,STON/O 2. 3101269,7.925,,S
260,260,2,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30.0,3,0,31027,21.0,,S
261,261,2,"Gill, Mr. John William",male,24.0,0,0,233866,13.0,,S
262,262,1,"Marechal, Mr. Pierre",male,,0,0,11774,29.7,C47,C
263,263,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C
264,264,1,"Daniel, Mr. Robert Williams",male,27.0,0,0,113804,30.5,,S
265,265,3,"Moubarek, Master. Halim Gonios (""William George"")",male,,1,1,2661,15.2458,,C
266,266,3,"Aronsson, Mr. Ernst Axel Algot",male,24.0,0,0,349911,7.775,,S
267,267,1,"Andrews, Mr. Thomas Jr",male,39.0,0,0,112050,0.0,A36,S
268,268,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,,C
269,269,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0,0,17770,27.7208,,C
270,270,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35.0,C128,S
271,271,3,"Goodwin, Master. Sidney Leonard",male,1.0,5,2,CA 2144,46.9,,S
272,272,3,"Lemberopolous, Mr. Peter L",male,34.5,0,0,2683,6.4375,,C
273,273,3,"Betros, Mr. Tannous",male,20.0,0,0,2648,4.0125,,C
274,274,3,"Olsson, Mr. Nils Johan Goransson",male,28.0,0,0,347464,7.8542,,S
275,275,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,,S
276,276,3,"Olsen, Mr. Henry Margido",male,28.0,0,0,C 4001,22.525,,S
277,277,2,"Veal, Mr. James",male,40.0,0,0,28221,13.0,,S
278,278,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29.0,0,4,349909,21.075,,S
279,279,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,0,1,PC 17592,39.4,D28,S
280,280,1,"Crosby, Miss. Harriet R",female,36.0,0,2,WE/P 5735,71.0,B22,S
281,281,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0,PC 17604,82.1708,,C
282,282,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,,S
283,283,1,"Brandeis, Mr. Emil",male,48.0,0,0,PC 17591,50.4958,B10,C
284,284,3,"Robins, Mr. Alexander A",male,50.0,1,0,A/5. 3337,14.5,,S
285,285,3,"Olsvigen, Mr. Thor Anderson",male,20.0,0,0,6563,9.225,,S
286,286,3,"Healy, Miss. Hanora ""Nora""",female,,0,0,370375,7.75,,Q
287,287,3,"Duquemin, Mr. Joseph",male,24.0,0,0,S.O./P.P. 752,7.55,,S
288,288,1,"Stahelin-Maeglin, Dr. Max",male,32.0,0,0,13214,30.5,B50,C
289,289,1,"Minahan, Miss. Daisy E",female,33.0,1,0,19928,90.0,C78,Q
290,290,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C
291,291,2,"Hiltunen, Miss. Marta",female,18.0,1,1,250650,13.0,,S
292,292,1,"Klaber, Mr. Herman",male,,0,0,113028,26.55,C124,S
293,293,3,"Wenzel, Mr. Linhart",male,32.5,0,0,345775,9.5,,S
294,294,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,,S
295,295,3,"Colbert, Mr. Patrick",male,24.0,0,0,371109,7.25,,Q
296,296,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,,S
297,297,3,"Keane, Mr. Andrew ""Andy""",male,,0,0,12460,7.75,,Q
298,298,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,1,0,244367,26.0,,S
